KodPracownika;Data_DD.MM.YY.;Data_HH:MM:SS;GodzinaWejscia;GodzinaWyjscia
383;03.02.2021 00:00:00;07:56:07;15:56:07;
383;04.02.2021 00:00:00;08:00:59;16:00:59;
383;05.02.2021 00:00:00;07:56:36;15:56:36;
383;08.02.2021 00:00:00;07:59:37;15:59:37;
383;09.02.2021 00:00:00;07:56:05;15:56:05;
383;10.02.2021 00:00:00;07:58:01;15:58:01;
383;11.02.2021 00:00:00;07:49:49;15:49:49;
383;12.02.2021 00:00:00;07:50:36;15:50:36;
383;15.02.2021 00:00:00;08:08:05;16:08:05;
383;16.02.2021 00:00:00;11:53:35;16:10:38;
383;17.02.2021 00:00:00;07:58:49;15:58:49;
383;18.02.2021 00:00:00;08:05:41;16:05:41;
383;22.02.2021 00:00:00;08:02:57;16:02:57;
383;23.02.2021 00:00:00;09:16:27;16:11:38;
383;24.02.2021 00:00:00;07:58:00;15:58:00;
383;26.02.2021 00:00:00;07:52:42;15:52:42;
1712;01.02.2021 00:00:00;22:00:00;06:00:00;
1712;02.02.2021 00:00:00;22:00:00;06:00:00;
1712;03.02.2021 00:00:00;22:00:00;06:00:00;
1712;04.02.2021 00:00:00;22:00:00;06:00:00;
1712;05.02.2021 00:00:00;22:00:00;06:00:00;
1712;08.02.2021 00:00:00;14:00:00;22:00:00;
1712;09.02.2021 00:00:00;14:00:00;22:00:00;
1712;10.02.2021 00:00:00;14:00:00;22:00:00;
1712;11.02.2021 00:00:00;14:00:00;22:00:00;
1712;12.02.2021 00:00:00;14:00:00;22:00:00;
1712;22.02.2021 00:00:00;22:00:00;06:00:00;
1712;23.02.2021 00:00:00;22:00:00;06:00:00;
1712;24.02.2021 00:00:00;22:00:00;06:00:00;
1712;25.02.2021 00:00:00;22:00:00;06:00:00;
1712;26.02.2021 00:00:00;22:00:00;06:00:00;
769;01.02.2021 00:00:00;06:00:00;14:00:00;
769;02.02.2021 00:00:00;06:00:00;14:00:00;
769;03.02.2021 00:00:00;06:00:00;14:00:00;
769;04.02.2021 00:00:00;06:00:00;14:00:00;
769;05.02.2021 00:00:00;06:00:00;14:00:00;
769;08.02.2021 00:00:00;22:00:00;06:00:00;
769;09.02.2021 00:00:00;22:00:00;06:00:00;
769;10.02.2021 00:00:00;22:00:00;06:00:00;
769;11.02.2021 00:00:00;22:00:00;06:00:00;
769;15.02.2021 00:00:00;14:00:00;22:00:00;
769;16.02.2021 00:00:00;14:00:00;22:00:00;
769;17.02.2021 00:00:00;14:00:00;22:00:00;
769;18.02.2021 00:00:00;14:00:00;22:00:00;
769;19.02.2021 00:00:00;14:00:00;22:00:00;
769;20.02.2021 00:00:00;14:00:00;22:00:00;
769;22.02.2021 00:00:00;06:00:00;14:00:00;
769;23.02.2021 00:00:00;06:00:00;14:00:00;
769;24.02.2021 00:00:00;06:00:00;14:00:00;
769;25.02.2021 00:00:00;06:00:00;14:00:00;
769;26.02.2021 00:00:00;06:00:00;14:00:00;
769;27.02.2021 00:00:00;06:00:00;14:00:00;
2357;01.02.2021 00:00:00;06:00:00;14:00:00;
2357;02.02.2021 00:00:00;06:00:00;14:00:00;
2357;03.02.2021 00:00:00;06:00:00;14:00:00;
2357;05.02.2021 00:00:00;06:00:00;14:00:00;
2357;08.02.2021 00:00:00;22:00:00;06:00:00;
2357;09.02.2021 00:00:00;22:00:00;06:00:00;
2357;10.02.2021 00:00:00;22:00:00;06:00:00;
2357;11.02.2021 00:00:00;22:00:00;06:00:00;
2357;15.02.2021 00:00:00;14:00:00;22:00:00;
2357;16.02.2021 00:00:00;14:00:00;22:00:00;
2357;18.02.2021 00:00:00;14:00:00;22:00:00;
2357;19.02.2021 00:00:00;14:00:00;22:00:00;
2357;20.02.2021 00:00:00;14:00:00;22:00:00;
2357;22.02.2021 00:00:00;06:00:00;19:00:04;
2357;23.02.2021 00:00:00;06:00:00;17:00:52;
2357;24.02.2021 00:00:00;06:00:00;18:00:02;
2357;25.02.2021 00:00:00;06:00:00;10:00:04;
2357;26.02.2021 00:00:00;06:00:00;14:00:00;
625;01.02.2021 00:00:00;06:00:00;14:00:00;
625;02.02.2021 00:00:00;06:00:00;14:00:00;
625;03.02.2021 00:00:00;06:00:00;14:00:00;
625;04.02.2021 00:00:00;06:00:00;14:00:00;
625;05.02.2021 00:00:00;06:00:00;14:00:00;
625;08.02.2021 00:00:00;22:00:00;06:00:00;
625;09.02.2021 00:00:00;22:00:00;06:00:00;
625;10.02.2021 00:00:00;22:00:00;06:00:00;
625;11.02.2021 00:00:00;22:00:00;06:00:00;
625;15.02.2021 00:00:00;14:00:00;22:00:00;
625;16.02.2021 00:00:00;14:00:00;22:00:00;
625;17.02.2021 00:00:00;14:00:00;22:00:00;
625;18.02.2021 00:00:00;14:00:00;22:00:00;
625;19.02.2021 00:00:00;14:00:00;22:00:00;
625;22.02.2021 00:00:00;06:00:00;14:00:00;
625;23.02.2021 00:00:00;06:00:00;14:00:00;
625;24.02.2021 00:00:00;06:00:00;14:00:00;
625;25.02.2021 00:00:00;06:00:00;14:00:00;
625;26.02.2021 00:00:00;06:00:00;14:00:00;
1147;01.02.2021 00:00:00;06:00:00;14:00:00;
1147;02.02.2021 00:00:00;06:00:00;14:00:00;
1147;03.02.2021 00:00:00;06:00:00;14:00:00;
1147;04.02.2021 00:00:00;06:00:00;14:00:00;
1147;05.02.2021 00:00:00;06:00:00;14:00:00;
1147;06.02.2021 00:00:00;06:00:00;14:00:00;
1147;08.02.2021 00:00:00;22:00:00;06:00:00;
1147;09.02.2021 00:00:00;22:00:00;06:00:00;
1147;10.02.2021 00:00:00;22:00:00;06:00:00;
1147;15.02.2021 00:00:00;14:00:00;22:00:00;
1147;16.02.2021 00:00:00;14:00:00;22:00:00;
1147;17.02.2021 00:00:00;14:00:00;22:00:00;
1147;18.02.2021 00:00:00;14:00:00;22:00:00;
1147;19.02.2021 00:00:00;14:00:00;22:00:00;
1147;22.02.2021 00:00:00;06:00:00;14:00:00;
1147;23.02.2021 00:00:00;06:00:00;14:00:00;
1147;24.02.2021 00:00:00;06:00:00;14:00:00;
1147;25.02.2021 00:00:00;06:00:00;14:00:00;
1147;26.02.2021 00:00:00;06:00:00;14:00:00;
24;01.02.2021 00:00:00;07:39:59;15:39:59;
24;02.02.2021 00:00:00;07:38:10;15:38:10;
24;03.02.2021 00:00:00;07:35:20;15:35:20;
24;04.02.2021 00:00:00;07:39:31;15:39:31;
24;05.02.2021 00:00:00;07:33:40;15:33:40;
190;01.02.2021 00:00:00;07:59:10;15:59:10;
190;02.02.2021 00:00:00;08:00:02;15:31:13;
190;03.02.2021 00:00:00;07:56:45;15:56:45;
190;04.02.2021 00:00:00;07:58:36;15:58:36;
190;05.02.2021 00:00:00;08:03:10;16:03:10;
190;08.02.2021 00:00:00;08:03:23;16:03:23;
190;09.02.2021 00:00:00;07:58:08;15:58:08;
190;10.02.2021 00:00:00;08:00:34;16:00:34;
190;11.02.2021 00:00:00;07:30:09;15:30:09;
190;12.02.2021 00:00:00;07:58:47;15:37:21;
190;15.02.2021 00:00:00;07:59:26;15:59:26;
190;16.02.2021 00:00:00;07:58:16;15:58:16;
190;17.02.2021 00:00:00;07:59:54;15:59:54;
190;18.02.2021 00:00:00;08:00:29;16:00:29;
190;19.02.2021 00:00:00;07:59:45;15:05:12;
190;22.02.2021 00:00:00;07:59:32;15:59:32;
190;23.02.2021 00:00:00;07:59:19;15:59:19;
190;24.02.2021 00:00:00;08:27:29;16:27:29;
190;25.02.2021 00:00:00;07:55:57;15:55:57;
190;26.02.2021 00:00:00;08:00:16;15:00:26;
1854;01.02.2021 00:00:00;06:00:00;14:00:00;
1854;02.02.2021 00:00:00;06:00:00;14:00:00;
1854;03.02.2021 00:00:00;06:00:00;14:00:00;
1854;04.02.2021 00:00:00;06:00:00;14:00:00;
1854;05.02.2021 00:00:00;06:00:00;14:00:00;
1854;09.02.2021 00:00:00;22:00:00;06:00:00;
1854;10.02.2021 00:00:00;22:00:00;06:00:00;
1854;11.02.2021 00:00:00;22:00:00;06:00:00;
1854;15.02.2021 00:00:00;14:00:00;22:00:00;
1854;16.02.2021 00:00:00;14:00:00;22:00:00;
1854;17.02.2021 00:00:00;14:00:00;22:00:00;
1854;18.02.2021 00:00:00;14:00:00;22:00:00;
1854;19.02.2021 00:00:00;14:00:00;22:00:00;
1854;22.02.2021 00:00:00;06:00:00;14:00:00;
1854;23.02.2021 00:00:00;06:00:00;14:00:00;
1115;01.02.2021 00:00:00;07:36:50;15:36:50;
1115;02.02.2021 00:00:00;07:31:58;15:31:58;
1115;03.02.2021 00:00:00;07:39:27;15:39:27;
1115;04.02.2021 00:00:00;07:37:45;15:37:45;
1115;05.02.2021 00:00:00;07:33:45;15:33:45;
1115;08.02.2021 00:00:00;07:37:43;15:37:43;
1115;09.02.2021 00:00:00;07:34:26;15:34:26;
1115;10.02.2021 00:00:00;07:37:32;15:37:32;
1115;11.02.2021 00:00:00;07:34:36;15:34:36;
1115;12.02.2021 00:00:00;07:36:19;15:36:19;
1115;15.02.2021 00:00:00;07:42:54;15:42:54;
1115;16.02.2021 00:00:00;07:33:26;15:33:26;
1115;17.02.2021 00:00:00;07:34:09;15:34:09;
1115;18.02.2021 00:00:00;07:38:16;15:38:16;
1115;19.02.2021 00:00:00;07:32:31;15:32:31;
1115;22.02.2021 00:00:00;07:36:26;15:36:26;
1115;23.02.2021 00:00:00;07:29:11;15:29:11;
1115;24.02.2021 00:00:00;07:34:00;15:34:00;
1115;25.02.2021 00:00:00;07:27:49;15:27:49;
1115;26.02.2021 00:00:00;07:41:25;15:41:25;
81;02.02.2021 00:00:00;07:55:52;15:55:52;
81;04.02.2021 00:00:00;07:00:17;10:36:22;
81;09.02.2021 00:00:00;07:21:46;15:21:46;
81;11.02.2021 00:00:00;07:57:51;15:57:51;
81;16.02.2021 00:00:00;07:51:57;15:51:57;
81;18.02.2021 00:00:00;07:47:17;14:31:09;
81;23.02.2021 00:00:00;07:55:45;15:55:45;
81;25.02.2021 00:00:00;07:20:49;15:20:49;
81;26.02.2021 00:00:00;07:49:49;15:49:49;
1775;01.02.2021 00:00:00;07:57:57;12:42:30;
1775;02.02.2021 00:00:00;07:58:41;15:58:41;
1775;03.02.2021 00:00:00;07:57:41;15:57:41;
1775;04.02.2021 00:00:00;08:00:42;16:00:42;
1775;05.02.2021 00:00:00;07:58:29;15:58:29;
1775;08.02.2021 00:00:00;07:58:19;15:58:19;
1775;09.02.2021 00:00:00;07:59:32;15:59:32;
1775;10.02.2021 00:00:00;08:00:43;15:10:55;
1775;11.02.2021 00:00:00;07:58:59;15:58:59;
1775;12.02.2021 00:00:00;07:58:45;15:58:45;
1775;17.02.2021 00:00:00;07:58:21;15:58:21;
1775;18.02.2021 00:00:00;08:00:12;16:00:12;
1775;19.02.2021 00:00:00;07:56:41;15:56:41;
1775;22.02.2021 00:00:00;07:59:27;15:59:27;
1775;23.02.2021 00:00:00;07:57:23;15:57:23;
1775;24.02.2021 00:00:00;08:12:06;15:09:56;
1775;25.02.2021 00:00:00;07:55:17;15:10:24;
1775;26.02.2021 00:00:00;07:57:32;15:57:32;
573;01.02.2021 00:00:00;06:00:00;14:00:00;
573;02.02.2021 00:00:00;06:00:00;13:00:45;
573;03.02.2021 00:00:00;06:00:00;14:00:00;
573;04.02.2021 00:00:00;06:27:55;15:33:58;
573;05.02.2021 00:00:00;06:00:00;14:00:00;
573;06.02.2021 00:00:00;06:00:00;14:00:00;
573;08.02.2021 00:00:00;06:00:00;14:00:00;
573;09.02.2021 00:00:00;06:00:00;14:00:00;
573;10.02.2021 00:00:00;06:00:00;14:00:00;
573;11.02.2021 00:00:00;06:00:00;14:00:00;
573;15.02.2021 00:00:00;06:00:00;14:00:00;
573;16.02.2021 00:00:00;06:00:00;14:00:00;
573;17.02.2021 00:00:00;06:00:00;14:00:00;
573;18.02.2021 00:00:00;06:00:00;14:00:00;
573;19.02.2021 00:00:00;06:00:00;14:00:00;
573;22.02.2021 00:00:00;06:00:00;14:00:00;
573;23.02.2021 00:00:00;06:00:00;14:00:00;
573;24.02.2021 00:00:00;06:00:00;14:00:00;
573;25.02.2021 00:00:00;06:00:00;14:00:00;
573;26.02.2021 00:00:00;06:00:00;14:00:00;
573;27.02.2021 00:00:00;06:00:00;14:00:00;
1840;01.02.2021 00:00:00;06:00:00;14:00:00;
1840;02.02.2021 00:00:00;06:00:00;14:00:00;
1840;03.02.2021 00:00:00;06:00:00;14:00:00;
1840;04.02.2021 00:00:00;06:00:00;14:00:00;
1840;05.02.2021 00:00:00;06:00:00;14:00:00;
1840;06.02.2021 00:00:00;06:00:00;14:00:00;
1840;09.02.2021 00:00:00;06:00:00;14:00:00;
1840;10.02.2021 00:00:00;06:00:00;14:00:00;
1840;11.02.2021 00:00:00;06:00:00;14:00:00;
1840;12.02.2021 00:00:00;06:16:21;14:16:21;
1840;15.02.2021 00:00:00;06:00:00;14:00:00;
1840;16.02.2021 00:00:00;06:00:00;14:00:00;
1840;17.02.2021 00:00:00;06:00:00;14:00:00;
1840;18.02.2021 00:00:00;06:00:00;14:00:00;
1840;19.02.2021 00:00:00;06:00:00;14:00:00;
1840;20.02.2021 00:00:00;06:00:00;12:01:11;
1840;22.02.2021 00:00:00;06:00:00;14:00:00;
1840;23.02.2021 00:00:00;06:00:00;14:00:00;
1840;24.02.2021 00:00:00;06:00:00;14:00:00;
1840;25.02.2021 00:00:00;06:00:00;14:00:00;
1840;26.02.2021 00:00:00;06:00:00;14:00:00;
1840;27.02.2021 00:00:00;06:00:00;14:00:00;
1743;01.02.2021 00:00:00;06:00:00;14:00:00;
1743;02.02.2021 00:00:00;06:00:00;14:00:00;
1743;03.02.2021 00:00:00;06:00:00;14:00:00;
1743;04.02.2021 00:00:00;06:00:00;14:00:00;
1743;05.02.2021 00:00:00;06:00:00;14:00:00;
1743;08.02.2021 00:00:00;06:00:00;14:00:00;
1743;09.02.2021 00:00:00;06:00:00;14:00:00;
1743;10.02.2021 00:00:00;06:00:00;14:00:00;
1743;11.02.2021 00:00:00;06:00:00;14:00:00;
1743;15.02.2021 00:00:00;06:00:00;14:00:00;
1743;16.02.2021 00:00:00;06:00:00;14:00:00;
1743;17.02.2021 00:00:00;06:00:00;14:00:00;
1743;18.02.2021 00:00:00;06:00:00;14:00:00;
1743;19.02.2021 00:00:00;06:00:00;14:00:00;
1743;22.02.2021 00:00:00;06:00:00;14:00:00;
1743;23.02.2021 00:00:00;06:00:00;14:00:00;
1743;24.02.2021 00:00:00;06:00:00;14:00:00;
1743;25.02.2021 00:00:00;06:00:00;14:00:00;
1743;26.02.2021 00:00:00;06:00:00;14:00:00;
1743;27.02.2021 00:00:00;06:00:00;14:00:00;
236;01.02.2021 00:00:00;22:00:00;06:00:00;
236;02.02.2021 00:00:00;22:00:00;06:00:00;
236;03.02.2021 00:00:00;22:00:00;06:00:00;
236;04.02.2021 00:00:00;22:00:00;06:00:00;
236;05.02.2021 00:00:00;22:00:00;06:00:00;
236;08.02.2021 00:00:00;14:00:00;22:00:00;
236;09.02.2021 00:00:00;14:00:00;22:00:00;
236;10.02.2021 00:00:00;06:00:00;14:00:00;
236;11.02.2021 00:00:00;14:00:00;22:00:00;
236;15.02.2021 00:00:00;06:00:00;14:00:00;
236;16.02.2021 00:00:00;06:00:00;14:00:00;
236;17.02.2021 00:00:00;06:00:00;14:00:00;
236;18.02.2021 00:00:00;06:00:00;14:00:00;
236;22.02.2021 00:00:00;22:00:00;06:00:00;
236;23.02.2021 00:00:00;22:00:00;06:00:00;
2358;01.02.2021 00:00:00;06:00:00;14:00:00;
2358;02.02.2021 00:00:00;06:00:00;14:00:00;
2358;04.02.2021 00:00:00;06:00:00;14:00:00;
2358;05.02.2021 00:00:00;06:00:00;14:00:00;
2358;08.02.2021 00:00:00;06:00:00;14:00:00;
2358;09.02.2021 00:00:00;06:00:00;14:00:00;
2358;10.02.2021 00:00:00;06:00:00;14:00:00;
2358;11.02.2021 00:00:00;06:00:00;14:00:00;
2358;15.02.2021 00:00:00;06:00:00;14:00:00;
2358;16.02.2021 00:00:00;06:00:00;14:00:00;
2358;17.02.2021 00:00:00;06:00:00;14:00:00;
2358;18.02.2021 00:00:00;06:00:00;14:00:00;
2358;22.02.2021 00:00:00;06:00:00;14:00:00;
